id,num_reviews
1139940,4015
1139950,65
1139980,11466
1140030,60
1140100,157
1140130,88
1140150,1329
1140170,543
1140270,5797
1140290,1513
1140460,60
1140620,1309
1140630,746
1140740,516
1140890,1272
1141020,60
1141030,168
1141050,68
1141120,239
1141170,26
1141270,26
1141320,124
1141530,436
1141550,1907
1141570,31
1141600,29
1141760,440
1142020,39
1142080,795
1142100,1105
1142180,69
1142240,30
1142390,908
1142480,198
1142530,75
1142710,81157
1142810,266
1142830,666
1143430,45
1143710,63
1143750,78
1143810,3491
1143860,96
1143900,26
1144020,469
1144090,44
1144140,29
1144200,80780
1144250,890
1144370,35
1144400,27470
1144440,769
1144460,74
1144770,4654
1144800,572
1144860,105
1144910,407
1144970,506
1145130,157
1145290,213
1145330,38
1145340,479
1145350,50050
1145360,56360
1145570,150
1145660,850
1145960,5728
1146010,73
1146170,192
1146210,30
1146300,666
1146310,1382
1146370,665
1146420,40
1146600,713
1146630,6863
1146660,30
1146720,506
1146970,3859
1147110,42
1147130,257
1147330,229
1147450,550
1147550,11078
1147560,1050
1147760,29
1147860,3675
1147940,417
1147980,33
1148100,78
1148350,1316
1148360,30
1148480,401
1148570,52
1148590,7255
1148700,54
1148730,158
1148760,3360
1148770,76
1149000,27
1149290,32
1149400,217
1149440,987
1149460,41678
1149550,1250
1149620,23546
1149710,226
1149940,516
1150040,41
1150080,7309
1150090,378
1150440,11610
1150460,406
1150530,3004
1150590,1430
1150620,133
1150640,4109
1150690,74532
1150720,486
1150730,308
1150760,5674
1150950,2354
1151050,1268
1151100,40
1151120,355
1151130,50
1151200,43
1151250,315
1151340,65640
1151430,26
1151440,1341
1151450,1190
1151530,91
1151620,68
1151640,8290
1151740,317
1151920,49
1151930,126
1152090,550
1152120,43
1152160,135
1152300,436
1152320,212
1152330,67
1152340,1919
1152420,47
1152450,37
1152620,46
1152810,224
1152820,57
1152940,34
1152950,160
1153150,123
1153200,54
1153210,189
1153430,1784
1153460,62
1153510,32
1153540,159
1153640,3722
1153830,143
1153880,56
1153930,46
1153980,40
1154040,1429
1154080,75
1154090,172
1154110,451
1154120,183
1154300,28
1154670,160
1154680,53
1154790,1335
1154810,3583
1154830,283
1154840,1353
1154850,484
1155100,28
1155300,49
1155460,75
1155580,110
1155650,501
1155660,116
1155870,354
1155880,335
1155940,30
1155970,3749
1156060,318
1156120,61
1156360,198
1156380,379
1156500,31
1156510,60
1156900,101
1156990,3267
1157050,38
1157220,1663
1157260,54
1157390,6381
1157670,32
1157700,426
1157740,597
1157940,115
1157960,121
1158160,19474
1158310,114710
1158370,3843
1158410,37
1158420,718
1158720,214
1158850,7429
1158890,575
1158940,9072
1158980,3090
1159090,416
1159290,2802
1159420,791
1159450,54
1159560,1170
1159640,1388
1159660,4859
1159680,132
1159690,5248
1159700,40
1159830,694
1159860,164
1160020,187
1160220,3794
1160410,114
1160580,30
1160620,26
1160750,2697
1160920,1194
1160950,62
1161170,6589
1161180,42
1161490,2965
1161580,19510
1161590,3464
1161640,190
1161830,234
1161870,2158
1161880,264
1161930,84
1162050,143
1162070,1249
1162130,1064
1162180,64
1162280,349
